feature,NotTop10,Top10,diff_top10
loudness,-6.237181818181818,-5.869703703703704,0.3674781144781143
valence,0.5970664335664335,0.6060574074074074,0.008990973840973915
energy,0.6855641025641026,0.6923703703703704,0.006806267806267807
danceability,0.6658018648018648,0.6700185185185186,0.0042166537166538065
acousticness,0.16559720606060607,0.15561388888888888,-0.009983317171717188
speechiness,0.11635664335664336,0.08241481481481482,-0.03394182854182855
tempo,117.64122144522145,108.96244444444444,-8.678777000777004
