year,top10_count,total_songs,top10_share
2000,10,92,0.10869565217391304
2001,10,98,0.10204081632653061
2002,10,99,0.10101010101010101
2003,10,112,0.08928571428571429
2004,13,79,0.16455696202531644
2021,1,1,1
